match_type,EPM,facility,city,state,feedstock_class,pathway_type,coproduct,wa_code,wa_ci,ca_pathway,ca_feedstock,ca_coproduct,ca_ci,wa_minus_ca_ci
exact,3678,Poet Biorefining- Hudson,Hudson,SD,corn starch,Ethanol from Corn,WDGS,ETHWA009A00880201,66.72,Starch,Corn (009),WDGS,66.79,-0.07000000000000739
exact,3680,Poet Biorefinning-Jewell LLC,Jewell,IA,fiber/cellulosic,Ethanol from Biomass,,ETHWA012A00890302,27.27,Fiber,Corn Fiber (012),DDGS + WDGS,27.18,0.08999999999999986
exact,3680,Poet Biorefinning-Jewell LLC,Jewell,IA,corn starch,Ethanol from Corn,WDGS,ETHWA009A00890201,67.54,Starch,Corn (009),WDGS,67.19,0.3500000000000085
exact,3680,Poet Biorefinning-Jewell LLC,Jewell,IA,corn starch,Ethanol from Corn,DDGS,ETHWA009A00890101,74.11,Starch,Corn (009),DDGS,73.76,0.3499999999999943
exact,3687,Poet Biorefining- Mitchell LLC,Mitchell,SD,corn starch,Ethanol from Corn,,ETHWA009A00900202,65.72,Starch,Corn (009),WDGS,66.07,-0.3499999999999943
exact,3687,Poet Biorefining- Mitchell LLC,Mitchell,SD,fiber/cellulosic,Ethanol from Biomass,,ETHWA012A00900302,25.88,Fiber,Corn Fiber (012),DDGS + WDGS,26.48,-0.6000000000000014
exact,3687,Poet Biorefining- Mitchell LLC,Mitchell,SD,corn starch,Ethanol from Corn,DDGS,ETHWA009A00900101,73.35,Starch,Corn (009),DDGS,73.69,-0.3400000000000034
exact,3700,Redfield Energy LLC,Redfield,SD,corn starch,Ethanol from Corn,DDGS,ETHWA009A01610100,67.82,Starch,Corn (009),DDGS + WDGS,68.05,-0.23000000000000398
exact,3700,Redfield Energy LLC,Redfield,SD,fiber/cellulosic,Ethanol from Biomass,,ETHWA012A01610200,28.7,Fiber,Corn Fiber (012),,29.06,-0.35999999999999943
exact,3702,Ringneck Energy & Feed LLC,Onida,SD,corn starch,Ethanol from Corn,DDGS,ETHWA009A01040101,72.57,Starch,Corn (009),DDGS,72.64,-0.07000000000000739
exact,3702,Ringneck Energy & Feed LLC,Onida,SD,corn starch,Ethanol from Corn,WDGS,ETHWA009A01040201,64.24,Starch,Corn (009),WDGS,64.17,0.06999999999999318
